[sweep] loading panel + features ... (jobs=8)
[sweep] TA RISK-TA-ladder-1_0.5_0: rank_key=0.35 oos_sharpe=-3.09 null_p95=-0.49 gate=fail
[sweep] TA RISK-TA-ladder-1_0.5_0.25: rank_key=0.23 oos_sharpe=-2.94 null_p95=-1.06 gate=fail
[sweep] TA RISK-TA-ladder-1_0.25_0: rank_key=-0.06 oos_sharpe=-2.96 null_p95=-0.11 gate=fail
[sweep] TA RISK-TA-ladder-0.5_0.25_0: rank_key=0.35 oos_sharpe=-3.04 null_p95=-0.49 gate=fail
[sweep] TA RISK-TA-ladder-1_1_0: rank_key=0.83 oos_sharpe=-2.79 null_p95=-0.67 gate=fail
[sweep] TA RISK-TA-ladder-1_0_0: rank_key=-0.56 oos_sharpe=-2.45 null_p95=0.48 gate=fail
[sweep] TA done (E=42, honest_N=250) in 60.0s
[sweep] TB DIR-TB-H1-follow_calm_flat_stress-1.0: rank_key=-1.30 oos_sharpe=-0.24 null_p95=1.74 gate=fail
[sweep] TB DIR-TB-H1-follow_calm_flat_stress-0.5: rank_key=-1.32 oos_sharpe=-0.24 null_p95=1.74 gate=fail
[sweep] TB DIR-TB-H2-follow_calm_fade_stress-1.0: rank_key=-0.48 oos_sharpe=-1.04 null_p95=1.58 gate=fail
[sweep] TB DIR-TB-H2-follow_calm_fade_stress-0.5: rank_key=-0.27 oos_sharpe=-1.43 null_p95=1.58 gate=fail
[sweep] TB DIR-TB-H3-follow_all-1.0: rank_key=-1.16 oos_sharpe=1.12 null_p95=2.15 gate=fail
[sweep] TB DIR-TB-H3-follow_all-0.5: rank_key=-1.19 oos_sharpe=1.06 null_p95=2.15 gate=fail
[sweep] TB DIR-TB-H4-long_calm_only-1.0: rank_key=-0.96 oos_sharpe=-1.60 null_p95=0.97 gate=fail
[sweep] TB DIR-TB-H4-long_calm_only-0.5: rank_key=-0.96 oos_sharpe=-1.60 null_p95=0.97 gate=fail
[sweep] TB DIR-TB-H5-fade_stress_only-1.0: rank_key=0.40 oos_sharpe=-1.58 null_p95=1.53 gate=fail
[sweep] TB DIR-TB-H5-fade_stress_only-0.5: rank_key=0.42 oos_sharpe=-1.49 null_p95=1.53 gate=fail
[sweep] TB DIR-TB-H6-follow_calm_half_stress-1.0: rank_key=-1.38 oos_sharpe=0.83 null_p95=2.00 gate=fail
[sweep] TB DIR-TB-H6-follow_calm_half_stress-0.5: rank_key=-1.38 oos_sharpe=0.83 null_p95=2.01 gate=fail
[sweep] TB RISK-TB-ladder-1_1_0.5_0.5: rank_key=0.08 oos_sharpe=-2.89 null_p95=-1.40 gate=fail
[sweep] TB RISK-TB-ladder-1_0.5_0.5_0: rank_key=-0.70 oos_sharpe=-1.89 null_p95=-0.27 gate=fail
[sweep] TB RISK-TB-ladder-1_1_0_0: rank_key=-0.56 oos_sharpe=-2.45 null_p95=0.53 gate=fail
[sweep] TB RISK-TB-ladder-1_0.5_0.25_0.25: rank_key=-0.25 oos_sharpe=-2.59 null_p95=-0.89 gate=fail
[sweep] TB RISK-TB-ladder-1_0_0.5_0: rank_key=-0.85 oos_sharpe=-1.36 null_p95=0.07 gate=fail
[sweep] TB RISK-TB-ladder-0.5_0.5_0_0: rank_key=-0.58 oos_sharpe=-2.46 null_p95=0.53 gate=fail
[sweep] TB done (E=42, honest_N=105) in 128.2s
[sweep] TC DIR-TC-H7-carry_fade_extremes-1.0: rank_key=0.80 oos_sharpe=1.42 null_p95=2.16 gate=fail
[sweep] TC DIR-TC-H7-carry_fade_extremes-0.5: rank_key=0.80 oos_sharpe=1.42 null_p95=2.16 gate=fail
[sweep] TC DIR-TC-H8-fade_pos_extreme_only-1.0: rank_key=0.96 oos_sharpe=2.38 null_p95=2.26 gate=fail
[sweep] TC DIR-TC-H8-fade_pos_extreme_only-0.5: rank_key=0.96 oos_sharpe=2.38 null_p95=2.26 gate=fail
[sweep] TC DIR-TC-H9-follow_mild_fade_extreme-1.0: rank_key=0.04 oos_sharpe=-0.86 null_p95=1.33 gate=fail
[sweep] TC DIR-TC-H9-follow_mild_fade_extreme-0.5: rank_key=0.04 oos_sharpe=-0.80 null_p95=1.33 gate=fail
[sweep] TC DIR-TC-H10-short_crowded_long-1.0: rank_key=1.10 oos_sharpe=0.44 null_p95=1.63 gate=fail
[sweep] TC DIR-TC-H10-short_crowded_long-0.5: rank_key=1.10 oos_sharpe=0.44 null_p95=1.63 gate=fail
[sweep] TC RISK-TC-ladder-1_0_1_0.5: rank_key=0.92 oos_sharpe=-1.46 null_p95=-1.32 gate=fail
[sweep] TC RISK-TC-ladder-1_0.25_1_1: rank_key=0.82 oos_sharpe=-1.79 null_p95=-1.57 gate=fail
[sweep] TC RISK-TC-ladder-0.5_0_1_0.5: rank_key=0.97 oos_sharpe=-1.49 null_p95=-1.02 gate=fail
[sweep] TC RISK-TC-ladder-1_0_0.5_0: rank_key=0.51 oos_sharpe=-1.74 null_p95=-1.16 gate=fail
[sweep] TC done (E=42, honest_N=225) in 73.1s
[sweep] done in 283.7s -> ./artifacts/sweep_results.json + ./artifacts/sweep_summary.md
[sweep] gate passes: 0/36; top train-ranked: DIR-TC-H10-short_crowded_long-0.5
