ts,side,usd_notional,cascade
2026-05-06 19:09:28.219,buy,1469.46,0
2026-05-06 19:11:51.361,sell,3717.17,0
2026-05-06 19:11:51.454,sell,80.81,0
2026-05-06 19:12:18.776,sell,3312.9,0
2026-05-06 19:12:23.541,sell,404.01,0
2026-05-06 19:12:24.224,sell,888.81,0
2026-05-06 19:12:34.507,sell,13734.52,0
2026-05-06 19:12:34.911,sell,484.72,0
2026-05-06 19:12:34.921,sell,8078.54,0
2026-05-06 19:15:36.437,sell,3795.54,0
2026-05-06 19:15:36.843,sell,59194.81,0
2026-05-06 20:07:23.094,buy,5246.75,0
2026-05-06 20:13:38.287,buy,245.98,0
2026-05-06 20:14:04.071,buy,82,0
2026-05-06 20:27:04.263,buy,10750.62,0
2026-05-06 21:41:41.943,buy,327.66,0
2026-05-06 21:51:26.964,buy,491.67,0
2026-05-06 22:14:33.084,buy,81.75,0
2026-05-06 22:22:07.679,sell,485.13,0
2026-05-06 22:27:43.975,sell,7272.28,0
2026-05-06 22:27:44.002,sell,484.84,0
2026-05-06 22:28:11.437,sell,80.81,0
2026-05-06 22:35:51.030,buy,3675.85,0
2026-05-06 22:35:54.936,sell,80.91,0
2026-05-06 23:03:22.455,sell,8878.97,0
2026-05-06 23:03:22.486,sell,161.45,0
2026-05-06 23:03:22.497,sell,484.54,0
2026-05-06 23:03:22.673,sell,403.61,0
2026-05-06 23:03:22.693,sell,3229.46,0
2026-05-06 23:03:22.734,sell,2744.63,0
2026-05-06 23:03:22.798,sell,807.26,0
2026-05-06 23:03:22.808,sell,80.72,0
2026-05-06 23:03:22.943,sell,1936.76,0
2026-05-06 23:03:22.970,sell,645.68,0
2026-05-06 23:03:22.996,sell,322.91,0
2026-05-06 23:03:23.011,sell,726.84,0
2026-05-06 23:03:23.183,sell,807.26,0
2026-05-06 23:03:23.343,sell,11546.38,0
2026-05-06 23:03:23.644,sell,161.31,0
2026-05-06 23:03:23.679,sell,130827.44,0
2026-05-06 23:03:23.694,sell,403.35,0
2026-05-06 23:03:23.734,sell,3549.14,0
2026-05-06 23:03:23.745,sell,4034.78,0
2026-05-06 23:03:23.805,sell,1694.12,0
2026-05-06 23:03:23.963,sell,161.37,0
2026-05-06 23:03:24.004,sell,726.19,0
2026-05-06 23:03:24.047,sell,80.68,0
2026-05-06 23:03:24.080,sell,80.67,0
2026-05-06 23:03:24.100,sell,6453.84,0
2026-05-06 23:03:24.194,sell,1935.77,0
2026-05-06 23:03:24.241,sell,2500.79,0
2026-05-06 23:03:24.246,sell,2258.31,0
2026-05-06 23:03:24.348,sell,1532.91,0
2026-05-06 23:03:24.357,sell,403.3,0
2026-05-06 23:03:24.423,sell,2984.16,0
2026-05-06 23:03:24.436,sell,564.7,0
2026-05-06 23:03:24.437,sell,80.68,0
2026-05-06 23:03:24.620,sell,645.18,0
2026-05-06 23:03:24.855,sell,241.96,0
2026-05-06 23:03:24.954,sell,1048.45,0
2026-05-06 23:03:25.084,sell,1129.11,0
2026-05-06 23:03:28.659,sell,7498.46,0
2026-05-06 23:03:28.808,sell,204831.95,0
2026-05-06 23:03:29.000,sell,161.28,0
2026-05-06 23:03:29.014,sell,161.26,0
2026-05-06 23:03:29.217,sell,2257.81,0
2026-05-06 23:03:29.284,sell,1048.3,0
2026-05-06 23:03:29.328,sell,161.27,0
2026-05-06 23:03:30.462,sell,886.91,0
2026-05-06 23:03:30.563,sell,31360.64,0
2026-05-06 23:03:30.750,sell,1047.99,0
2026-05-06 23:03:40.376,sell,886.69,0
2026-05-06 23:03:40.413,sell,644.85,0
2026-05-06 23:03:40.492,sell,564.26,0
2026-05-06 23:03:40.881,sell,6367.83,0
2026-05-06 23:03:40.933,sell,7174.5,0
2026-05-06 23:03:41.063,sell,80607.3,0
2026-05-06 23:03:41.138,sell,241.82,0
2026-05-06 23:03:41.338,sell,564.24,0
2026-05-06 23:03:41.386,sell,4030.35,0
2026-05-06 23:03:42.530,sell,241.77,0
2026-05-06 23:03:42.589,sell,644.61,0
2026-05-06 23:03:42.861,sell,2175.46,0
2026-05-06 23:03:42.871,sell,967.16,0
2026-05-06 23:03:43.091,sell,725.24,0
2026-05-06 23:03:43.135,sell,161.17,0
2026-05-06 23:03:43.167,sell,80.6,0
2026-05-06 23:03:43.336,sell,12732,0
2026-05-06 23:03:43.404,sell,402.97,0
2026-05-06 23:03:43.477,sell,241.81,0
2026-05-06 23:03:43.518,sell,322.32,0
2026-05-06 23:03:43.523,sell,725.32,0
2026-05-06 23:03:43.621,sell,1703637.85,0
2026-05-06 23:03:43.914,sell,1772.56,0
2026-05-06 23:03:44.233,sell,1933.74,0
2026-05-06 23:03:44.323,sell,3947.92,0
2026-05-06 23:03:44.380,sell,886.18,0
2026-05-06 23:03:45.207,sell,644.51,0
2026-05-06 23:03:46.669,sell,402.76,0
2026-05-06 23:03:46.671,sell,3141.41,0
2026-05-06 23:03:47.215,sell,563.87,0
2026-05-06 23:54:26.323,buy,3517.45,0
2026-05-07 00:04:09.070,buy,654.76,0
2026-05-07 00:05:30.535,buy,245.46,0
2026-05-07 00:32:29.799,buy,163.12,0
2026-05-07 00:36:50.515,sell,403.4,0
2026-05-07 00:36:52.822,sell,11778.55,0
2026-05-07 00:40:25.156,sell,8385.34,0
2026-05-07 00:40:52.533,sell,403.08,0
2026-05-07 00:43:27.936,sell,1853.5,0
2026-05-07 00:44:17.169,sell,118670.33,0
2026-05-07 00:44:23.989,sell,20541.4,0
2026-05-07 00:44:24.971,sell,19249.06,0
2026-05-07 00:44:25.521,sell,80.54,0
2026-05-07 00:44:25.560,sell,80.54,0
2026-05-07 00:44:26.207,sell,9825.28,0
2026-05-07 00:47:01.546,sell,80.53,0
2026-05-07 00:47:01.689,sell,69659.49,0
2026-05-07 00:47:01.964,sell,402.65,0
2026-05-07 00:47:01.994,sell,805.31,0
2026-05-07 00:47:02.389,sell,128279.99,0
2026-05-07 00:47:02.510,sell,88583,0
2026-05-07 00:58:52.816,sell,3625.94,0
2026-05-07 01:00:47.225,buy,81.37,0
2026-05-07 01:01:01.874,buy,8134.87,0
2026-05-07 01:01:08.746,sell,805.49,0
2026-05-07 01:01:13.158,sell,1691.71,0
2026-05-07 01:01:13.443,sell,322.2,0
2026-05-07 01:01:18.147,sell,2416.41,0
2026-05-07 01:01:18.296,sell,6846.39,0
2026-05-07 01:01:21.546,sell,5878.27,0
2026-05-07 01:01:21.654,sell,80.53,0
2026-05-07 01:01:21.932,sell,483.14,0
2026-05-07 01:01:22.015,sell,80.52,0
2026-05-07 01:01:23.339,sell,885.74,0
2026-05-07 01:01:23.365,sell,322.09,0
2026-05-07 01:04:32.388,sell,2416.52,0
2026-05-07 01:04:38.722,sell,3625.19,0
2026-05-07 01:04:44.123,sell,161.07,0
2026-05-07 01:06:13.480,sell,4830.34,0
2026-05-07 01:06:13.622,sell,7084.55,0
2026-05-07 01:06:13.628,sell,1046.61,0
2026-05-07 01:06:13.648,sell,2737.39,0
2026-05-07 01:06:13.854,sell,161,0
2026-05-07 01:06:13.904,sell,3220.15,0
2026-05-07 01:06:13.916,sell,402.48,0
2026-05-07 01:06:13.989,sell,3300.55,0
2026-05-07 01:06:14.006,sell,160.99,0
2026-05-07 01:06:14.050,sell,402.58,0
2026-05-07 01:06:14.130,sell,4589.63,0
2026-05-07 01:06:14.143,sell,2093.21,0
2026-05-07 01:06:14.178,sell,30355.63,0
2026-05-07 01:06:14.187,sell,2012.64,0
2026-05-07 01:06:14.218,sell,1368.48,0
2026-05-07 01:06:14.230,sell,80.5,0
2026-05-07 01:06:14.240,sell,4186.21,0
2026-05-07 01:06:14.329,sell,161.04,0
2026-05-07 01:06:14.330,sell,3461.22,0
2026-05-07 01:06:14.491,sell,1449.29,0
2026-05-07 01:06:15.428,sell,1287.83,0
2026-05-07 01:06:15.853,sell,1126.82,0
2026-05-07 01:06:15.883,sell,2897.53,0
2026-05-07 01:06:20.664,sell,30101.84,0
2026-05-07 01:06:21.383,sell,1207.29,0
2026-05-07 01:06:25.585,sell,804.77,0
2026-05-07 01:06:25.642,sell,885.28,0
2026-05-07 01:06:25.709,sell,34929.19,0
2026-05-07 01:06:25.780,sell,804.77,0
2026-05-07 01:06:25.951,sell,241.43,0
2026-05-07 01:06:25.976,sell,4667.82,0
2026-05-07 01:06:26.267,sell,804.8,0
2026-05-07 01:06:36.393,sell,402.39,0
2026-05-07 01:06:38.073,sell,2735.97,0
2026-05-07 01:06:43.729,sell,160.91,0
2026-05-07 01:06:43.770,sell,3057.72,0
2026-05-07 01:06:43.815,sell,160.91,0
2026-05-07 01:06:44.136,sell,80.46,0
2026-05-07 01:06:44.215,sell,402.28,0
