ts,oi
2020-02-27 00:00:00,176268515
2020-02-28 00:00:00,161745430
2020-02-29 00:00:00,181309262
2020-03-01 00:00:00,180784983
2020-03-02 00:00:00,182010652
2020-03-03 00:00:00,176903553
2020-03-04 00:00:00,176218564
2020-03-05 00:00:00,183792561
2020-03-06 00:00:00,196335499
2020-03-07 00:00:00,213042602
2020-03-08 00:00:00,205666002
2020-03-09 00:00:00,154304758
2020-03-10 00:00:00,157688960
2020-03-11 00:00:00,149709228
2020-03-12 00:00:00,158060289
2020-03-13 00:00:00,72890200
2020-03-14 00:00:00,78963524
2020-03-15 00:00:00,77825593
2020-03-16 00:00:00,84955154
2020-03-17 00:00:00,86367906
2020-03-18 00:00:00,95658407
2020-03-19 00:00:00,108380175
2020-03-20 00:00:00,119400103
2020-03-21 00:00:00,94194428
2020-03-22 00:00:00,110512651
2020-03-23 00:00:00,115004240
2020-03-24 00:00:00,119834072
2020-03-25 00:00:00,120574876
2020-03-26 00:00:00,122599045
2020-03-27 00:00:00,132733971
2020-03-28 00:00:00,131793704
2020-03-29 00:00:00,142033734
2020-03-30 00:00:00,142804391
2020-03-31 00:00:00,148881522
2020-04-01 00:00:00,169023100
2020-04-02 00:00:00,172779009
2020-04-03 00:00:00,149725324
2020-04-04 00:00:00,150250781
2020-04-05 00:00:00,160519537
2020-04-06 00:00:00,167154127
2020-04-07 00:00:00,217354870
2020-04-08 00:00:00,185908821
2020-04-09 00:00:00,193764633
2020-04-10 00:00:00,203563852
2020-04-11 00:00:00,197366306
2020-04-12 00:00:00,199620673
2020-04-13 00:00:00,201661429
2020-04-14 00:00:00,202725658
2020-04-15 00:00:00,216332576
2020-04-16 00:00:00,237201182
2020-04-17 00:00:00,217040558
2020-04-18 00:00:00,224110677
2020-04-19 00:00:00,242970419
2020-04-20 00:00:00,236487735
2020-04-21 00:00:00,232851730
2020-04-22 00:00:00,238018022
2020-04-23 00:00:00,251223449
2020-04-24 00:00:00,213495856
2020-04-25 00:00:00,209127429
2020-04-26 00:00:00,211920767
2020-04-27 00:00:00,222550092
2020-04-28 00:00:00,229902943
2020-04-29 00:00:00,241122039
2020-04-30 00:00:00,236417436
2020-05-01 00:00:00,241684918
2020-05-02 00:00:00,268630720
2020-05-03 00:00:00,267102732
2020-05-04 00:00:00,293914476
2020-05-05 00:00:00,275655972
2020-05-06 00:00:00,284092677
2020-05-07 00:00:00,309381812
2020-05-08 00:00:00,330572241
2020-05-09 00:00:00,338412989
2020-05-10 00:00:00,383055335
2020-05-11 00:00:00,220955008
2020-05-12 00:00:00,220696491
2020-05-13 00:00:00,225793340
2020-05-14 00:00:00,271782421
2020-05-15 00:00:00,289107870
2020-05-16 00:00:00,292572978
2020-05-17 00:00:00,301836531
2020-05-18 00:00:00,305200078
2020-05-19 00:00:00,314654957
2020-05-20 00:00:00,307675644
2020-05-21 00:00:00,315970186
2020-05-22 00:00:00,298623389
2020-05-23 00:00:00,318770148
2020-05-24 00:00:00,312937960
2020-05-25 00:00:00,293435782
2020-05-26 00:00:00,309700685
2020-05-27 00:00:00,312724583
2020-05-28 00:00:00,342634605
2020-05-29 00:00:00,340064577
2020-05-30 00:00:00,348060953
2020-05-31 00:00:00,325721015
2020-06-01 00:00:00,327522738
2020-06-02 00:00:00,331536814
2020-06-03 00:00:00,243726928
2020-06-04 00:00:00,267492938
2020-06-05 00:00:00,286124142
2020-06-06 00:00:00,286812547
2020-06-07 00:00:00,287747765
2020-06-08 00:00:00,290603802
2020-06-09 00:00:00,304472391
2020-06-10 00:00:00,293970087
2020-06-11 00:00:00,294615331
2020-06-12 00:00:00,299141881
2020-06-13 00:00:00,290064938
2020-06-14 00:00:00,287716684
2020-06-15 00:00:00,299025335
2020-06-16 00:00:00,328571274
2020-06-17 00:00:00,318789133
2020-06-18 00:00:00,322102748
2020-06-19 00:00:00,333570440
2020-06-20 00:00:00,339445686
2020-06-21 00:00:00,340716735
2020-06-22 00:00:00,338406850
2020-06-23 00:00:00,350410679
2020-06-24 00:00:00,383455972
2020-06-25 00:00:00,362701868
2020-06-26 00:00:00,342171521
2020-06-27 00:00:00,355806337
2020-06-28 00:00:00,370551882
2020-06-29 00:00:00,374373984
2020-06-30 00:00:00,375428319
2020-07-01 00:00:00,379356178
2020-07-02 00:00:00,383385827
2020-07-03 00:00:00,371527467
2020-07-04 00:00:00,368512076
2020-07-05 00:00:00,373137815
2020-07-06 00:00:00,364907890
2020-07-07 00:00:00,393317062
2020-07-08 00:00:00,390948609
2020-07-09 00:00:00,418274678
2020-07-10 00:00:00,384766642
2020-07-11 00:00:00,380286033
2020-07-12 00:00:00,376595527
2020-07-13 00:00:00,372802117
2020-07-14 00:00:00,384791000
2020-07-15 00:00:00,374158000
2020-07-16 00:00:00,388806916
2020-07-17 00:00:00,404149372
2020-07-18 00:00:00,409168756
2020-07-19 00:00:00,399063376
2020-07-20 00:00:00,402869858
2020-07-21 00:00:00,389016867
2020-07-22 00:00:00,436014868
2020-07-23 00:00:00,417235353
2020-07-24 00:00:00,411455261
2020-07-25 00:00:00,401457138
2020-07-26 00:00:00,412491115
2020-07-27 00:00:00,369954398
2020-07-28 00:00:00,401990935
2020-07-29 00:00:00,395421303
2020-07-30 00:00:00,427290320
2020-07-31 00:00:00,431359649
2020-08-01 00:00:00,447307202
2020-08-02 00:00:00,481571394
2020-08-03 00:00:00,349966487
2020-08-04 00:00:00,359162925
2020-08-05 00:00:00,363050299
2020-08-06 00:00:00,413235346
2020-08-07 00:00:00,427617650
2020-08-08 00:00:00,376622287
2020-08-09 00:00:00,397691081
2020-08-10 00:00:00,405448216
2020-08-11 00:00:00,410345197
2020-08-12 00:00:00,412602310
2020-08-13 00:00:00,412640178
2020-08-14 00:00:00,408919031
2020-08-15 00:00:00,398752340
2020-08-16 00:00:00,415189029
2020-08-17 00:00:00,423026061
2020-08-18 00:00:00,445410178
2020-08-19 00:00:00,453614210
2020-08-20 00:00:00,425998010
2020-08-21 00:00:00,420392387
2020-08-22 00:00:00,395441944
2020-08-23 00:00:00,389547314
2020-08-24 00:00:00,391296696
2020-08-25 00:00:00,413884409
2020-08-26 00:00:00,425349870
2020-08-27 00:00:00,404606739
2020-08-28 00:00:00,408445120
2020-08-29 00:00:00,421296691
2020-08-30 00:00:00,420247195
2020-08-31 00:00:00,437708252
2020-09-01 00:00:00,456513587
2020-09-02 00:00:00,475245980
2020-09-03 00:00:00,422856962
2020-09-04 00:00:00,305991190
2020-09-05 00:00:00,331236183
2020-09-06 00:00:00,328215096
2020-09-07 00:00:00,344038474
2020-09-08 00:00:00,356759052
2020-09-09 00:00:00,354636205
2020-09-10 00:00:00,357217702
2020-09-11 00:00:00,357038039
2020-09-12 00:00:00,356555593
2020-09-13 00:00:00,355604613
2020-09-14 00:00:00,355009625
2020-09-15 00:00:00,361747114
2020-09-16 00:00:00,371411270
2020-09-17 00:00:00,398207102
2020-09-18 00:00:00,377143641
2020-09-19 00:00:00,373187817
2020-09-20 00:00:00,400262014
2020-09-21 00:00:00,398625862
2020-09-22 00:00:00,390410714
2020-09-23 00:00:00,399240596
2020-09-24 00:00:00,417739796
2020-09-25 00:00:00,397169996
2020-09-26 00:00:00,392220637
2020-09-27 00:00:00,404931101
2020-09-28 00:00:00,403905286
2020-09-29 00:00:00,353014475
2020-09-30 00:00:00,382180820
2020-10-01 00:00:00,386257674
2020-10-02 00:00:00,377557581
2020-10-03 00:00:00,392882926
2020-10-04 00:00:00,394475395
2020-10-05 00:00:00,397187530
2020-10-06 00:00:00,427677246
2020-10-07 00:00:00,394573938
2020-10-08 00:00:00,404964997
2020-10-09 00:00:00,423234967
2020-10-10 00:00:00,431611644
2020-10-11 00:00:00,434124292
2020-10-12 00:00:00,447734750
2020-10-13 00:00:00,431269804
2020-10-14 00:00:00,425069586
2020-10-15 00:00:00,413391903
2020-10-16 00:00:00,422445593
2020-10-17 00:00:00,426567411
2020-10-18 00:00:00,417398537
2020-10-19 00:00:00,441307261
2020-10-20 00:00:00,484888521
2020-10-21 00:00:00,538060651
2020-10-22 00:00:00,574518396
2020-10-23 00:00:00,601284971
2020-10-24 00:00:00,602559875
2020-10-25 00:00:00,639527065
2020-10-26 00:00:00,576897504
2020-10-27 00:00:00,580279510
2020-10-28 00:00:00,649537829
2020-10-29 00:00:00,558491173
2020-10-30 00:00:00,613575657
2020-10-31 00:00:00,644459313
2020-11-01 00:00:00,683675490
2020-11-02 00:00:00,679351821
2020-11-03 00:00:00,649431589
2020-11-04 00:00:00,685954572
2020-11-05 00:00:00,695654367
2020-11-06 00:00:00,716783746
2020-11-07 00:00:00,686058486
2020-11-08 00:00:00,582341631
2020-11-09 00:00:00,640733124
2020-11-10 00:00:00,602352239
2020-11-11 00:00:00,597993541
